task,doc_id,dataset_family,w_auto,w_aug
mathqa,2,math,6.600400,4.487417
mmlu_high_school_psychology,511,mmlu_social,7.776945,5.696200
mathqa,2453,math,6.372900,4.143920
mmlu_high_school_geography,3,mmlu_social,8.114145,6.697420
mmlu_prehistory,73,mmlu_humanities,7.375945,6.259850
piqa,493,pretrain,6.257775,6.743700
hellaswag,5574,pretrain,6.487875,6.545360
mmlu_econometrics,3,mmlu_social,7.886425,6.537758
hellaswag,5635,pretrain,6.809170,6.718200
mathqa,2494,math,6.372900,4.143920
mmlu_electrical_engineering,6,mmlu_stem,8.004445,6.737758
mmlu_high_school_geography,84,mmlu_social,8.000395,6.574320
mmlu_high_school_us_history,30,mmlu_humanities,6.952195,6.489600
mmlu_prehistory,106,mmlu_humanities,8.017795,6.309495
piqa,629,pretrain,6.942270,6.752573
agieval_sat_math,189,math,6.084475,4.142700
mathqa,13,math,5.692700,5.004083
arc_challenge,61,reasoning,7.708995,4.862770
mathqa,2561,math,6.600400,5.087417
mathqa,435,math,6.372900,4.487417
mmlu_electrical_engineering,26,mmlu_stem,8.004445,6.146200
mmlu_high_school_geography,164,mmlu_social,7.714685,6.048733
mmlu_high_school_us_history,102,mmlu_humanities,6.490228,6.476783
hellaswag,5820,pretrain,6.251592,6.611383
mmlu_prehistory,132,mmlu_humanities,7.226658,6.491800
piqa,663,pretrain,6.654403,7.178667
agieval_aqua_rat,163,math,5.937055,4.287417
mathqa,2617,math,6.678755,4.143920
mmlu_electrical_engineering,128,mmlu_stem,7.714685,6.530250
hellaswag,5881,pretrain,6.052025,6.804000
mathqa,456,math,5.993155,5.819117
piqa,743,pretrain,7.094482,6.866133
mmlu_high_school_geography,178,mmlu_social,6.549318,6.530250
mmlu_high_school_us_history,195,mmlu_humanities,6.274295,6.489600
arc_challenge,209,reasoning,8.502270,6.599953
mmlu_prehistory,194,mmlu_humanities,7.781435,6.247033
agieval_sat_math,70,math,6.693795,6.147973
mathqa,626,math,5.858700,4.487417
mathqa,2625,math,6.372900,4.476033
hellaswag,5925,pretrain,6.747175,6.102933
mmlu_elementary_mathematics,37,math,5.404125,3.934553
mmlu_high_school_geography,192,mmlu_social,7.784495,6.146200
mmlu_prehistory,205,mmlu_humanities,8.000395,6.635860
mmlu_high_school_us_history,200,mmlu_humanities,6.490228,6.476783
piqa,995,pretrain,7.094482,6.979407
arc_challenge,178,reasoning,7.886425,5.848733
mmlu_elementary_mathematics,97,math,7.030455,4.846350
mathqa,647,math,5.858700,3.814237
mathqa,2792,math,5.993155,5.237000
hellaswag,5930,pretrain,6.179635,6.573240
piqa,1000,pretrain,7.860810,4.366667
mmlu_high_school_government_and_politics,41,mmlu_social,7.633910,6.184320
